00			
S41	39	
0000000000000000000000000000000000000000000000000000000000000000			
01	040458c04551833cb1ef1bf40296e775dbdf7a5f4526a669aad0f17e5b2ec9e5004c783ac61a43812ba90a8cecc7f1a6c17fd48a8d29db48fcbeda73b29ef41c5b	04	100
02	040d79573be2742b8789c136ad573a5d293e8f35e0226e2fafb2a45e67dff8b5a3117af7798f119cadb894db9a672edc706dd1cd27c0a1227108782497479b2e8a	0d	100
03	04130907aefc8893bb8769b2cfe6ec1b273ed6f7555aeb0d9723a9faa30a2cfc92f2ad05f93029f8873d8c6ef3ed1353f88d3103aede667f9d8563a3ffe56babcf	13	100
04	0416c974809f7136a4969875880bb36ed31cda95cd30480709f565e7f78c21f53c4efcc11c8ceb477613c3df62dcd91a8cd14549e7fae388359c57f78fdd68b623	16	100
05	042943cb78aa5fb79123e88448d24d1ae4d68d1c03f34778b287bb030e845d3f45d8b1552f86f140284fe69f1b3006c063d6fc4ead5d8686e5b46ec385de52360e	29	100
06	042e7a25626f9d23dc76408a24a224eed010107fc9a8e8a83ea5c8b0ee0fd36a9e2d7489ee40b048f9b46792081e3663849653a68de2b64f5180b471982a3524b1	2e	100
07	04311a5cf81d7262c3b6a840df5267180100b87b822f10aa87ee3708842b777d915222e109163ca76a94c914e25d4694df0299cf9845becf8250c26a68d83ef8bc	31	100
08	0437901f5c09bb782ca77e8ad27113e86e40eab3c955603f653668dbad2b5fed62bf54985b71e69d460094583c0dfaf6d75bd6e66beb6f6c7bc115b90933a4d97d	37	100
09	0445ae3178c4b11d796e68a23a399843a7bf408e6ab209778189c5abcbf8f09de0c3af2bc6322d08aa6eb883a4852a91f31279a2816fd803892227c36a10974a35	45	100
10	044ee2fc575689696ee173fcf949dcda95b0b107b8771453ffe2c6a6ab0049243dcd8af403566b434f577aaf114b98247ace4b304b31b956d9be370b3744a3f109	4e	100
11	045199c5a43f331c4e0721ab1269ba5ff45a94c99c3d7aaace86d174f4c55322a278ad71852659a584cd53ddf23517c9dbb4549cdc096ae228a6c35aba47be5d9c	51	100
12	0456f5b47731068e5c4f9b87ba3b6f3e49c29786e5a2ded42e45b41add1d3fc0fb546d968379adf62c3a418963d9300b2e5fca4c433ef878e283fe4596d6d8af1e	56	100
13	046386065a2f9e5ee3f4d15f1781ed16a10c697655342dbaec4bad818f9ee38e3e36649bdbde55ff4110c62962bae0a772d84a931bc4fc0e4464e26c21142db53c	63	100
14	046ae952947724ca4b529eca7291a2d665ef1a5e776d6566683de0534a88a50c97da37a4b648e2a8fd3c818dac49ab0dff518e07c7f4e9284190bf3f0ccca04b2b	6a	100
15	047bb96a27a6b7728a394c68c735ae4ee8d60022de4b0fc06d9d48048907739da0604e0c7d1583fe09e8d861348e9b28ded3d0109db35c040b4e4a95a55258968a	7b	100
16	047c0bf817452acf486b6b82a953d2129ca467090b81ad47e8c88f63b43830a85673f7b2a0550e12379640172bd65a781b2f421ce7110a4a1629ca822490b53a15	7c	50
17	0487f8b40513ae46020b00e17fc1d069ede20c9b92cf4d118dd04fcd692b1b5cb2596732569619d62e22f3007bb2ed2019af4e1829be304151b73a6f3577ca258d	87	100
18	04887f3fff1903d4f1d74c259b3bf950793dd92d4898d9a973293538913d3da30691ae37ad43d6f2582ae7dc4125b7fa6c2c72d4372e4ed49b1868d28f73973437	88	100
19	048bf62e5f33ec7fcc3b651b67e6ac2a40f090504da2f3d95a7b8260bf5d736db0a86b13efc001e29dfb539e0e4f95b10020de39c0563b1815df59ae50cb77d5bb	8b	100
20	049136a650b9fc23a2202bd6f3d974bb7209c993fd657e995a59ee59067bd731fa2b7bcd74738d7200c7907a21e397ccbd92461409347fcc891e6bc721a1c69177	91	100
21	049ccdf2ef279431309ab8a38a3f361365584103799ab9835ec0e24c4c0f9b9c1dcf60b61a35d7d6f79d386aece02048507fe58360bca70cc34c1f30aa25f25e37	9c	100
22	049ffc3df77287a3b0eadbd3d1ff4f4ec392c88b6913f3c832d8e6e9fe9f08cd69b7d56421398bff25b6335aca643b8db3918ccad260777e1772161d5ef8a993bd	9f	100
23	04a36fd4dfc69552717ee9379bceefc2f19213bebdd43114a72e7bb76b5c1f29c65213f0c327e36f1b09794d77e12397e2b51913b1ac3540f94e9bf263cc366f51	a3	50
24	04a550d73365fa5aabb0618362b69d18e1de7e8fb9691ed8c4dc0ede05f1c91e55725c68de58a3d1a7fe439b3bd8e1e7b968ffa274d84a5df0c4f30928627527c5	a5	100
25	04a7509084fcae1eeac68cfbcce9a4e00366ef1b01a0ceed2f3b0ef09831328d7ebc1e6d68507c431a6eb2f2b3ed55cd9c3ef02a24960a60371d63a0d2fb55547a	a7	100
26	04b41ec64856e4f8439e6493263cd07ac95963856c6f0cd2ca086f8daf555e1fe847cf80821425ae8e8fbe1000ccf18cdaec2badfe46a6b3d39b1c009095e35ba5	b4	100
27	04b79e7bcb73066e2274fe31042fd16f159169f208bc3a9f6ca2ab2237506a13755f4fa2fd827514e4c8ab63c2e798204664bcc6b704d3a2054f9a69a5898f695c	b7	100
28	04b9f95c52c0af6a5aa1bab087ff0716d13551985c0bd214c87f4e60adf995891ac0271032a3585545a00545a2b019a71086903b0de5633e386c290d067cd049a4	b9	100
29	04c170f5242cd2bd705a0c909bcc3bfcf190632af8477fdc1ade77b4b347e7a870e326ee03d4db6cbe38f0e362e7b5f1d392d3fb320fb602c3c60b2fcf4aa922e2	c1	100
30	04cf07c10f51f94c8e34e93a43b751dae5cb0e2e213202fa2564ade6dc46b737a77ef3f99fd47eb7949b44ee0b82bc46864483eede12875b27a12f7d1877adbf2a	cf	100
31	04d29146fbac564b2564d04b2908923c8e3fe960dc4500ee5476d69d11482dd083bb2b402b46c08c0284e10742f8a9c7d22940b964da867c93123bf9f096d8602d	d2	50
32	04dd3e882fb12123af00dc3f9c24205e3a67cffbee623d0268acdbb99005d77c4561e6ecaaa240d556d585cb2a0f76e613a6f3e21d4b957fe7dbd8db557aac1f54	dd	50
33	04de7b71b1bea1b8278952550190c0d6238a4c9137d4ef9acd5280677fac3e7b11336f7652b9f9b11ccd0825e3524651ba87165b7b76358c5c062fe9978bd8198d	de	100
34	04e7996e9589679d5ec07609219d138c5de3c81f4ffbf8430439e689fe25397532f701a46e2a4596544229335f787dd74f29d5589e4e8887bc5b0846281ad797c2	e7	100
35	04ecc0750e1ab7303635c12cee298432a02a479f8b6ea4564248e34b6722551786e6bd5db521de2e1d47e9ce85b89375e4ced3df26dd8970d4292f9a314b2120a6	ec	100
36	04eeeddfb0c7ce4deee339935d0cb4f4256fafe233e6c90e32da2844f60a5f8081e8f0ca530dfb111fcba8fd4d121af9766f6329e35a65ba61797f576d337df23f	ee	100
37	04f0b8718ba1f75c910fd763a1fb5cb284047a0a0332e3e866a8ab05560c1234d777f01f6c89c338b96d6f29c6f81aa23e40e9140913c97f4781304ef7ba3795d4	f0	100
38	04f6c7c24d79fcf5d4f5e29ee1d463ca7b6596134ec951eea841ec1a90aefe9c5d5a7e8601c8c968ec44918bd725b75ba4600e4af774418f4d7237b865dbd14aec	f6	100
39	04fe8c93fcd7a5eb493802ace8e8648e476a6b5e06117dd8d231b9d15e10555d2be07ffef67fa032849804b31f3b75da807aa955109f53d4dc40e461139354961d	fe	100

hex:86d3b0c4b40549f83f6316e237bbcc Se ha modificado el digest.
